year,mo,region,extent,area
1992,Oct,N,9.32,7.74
1992,Nov,N,11.38,9.75
1992,Dec,N,13.41,11.72
1992,Jan,S,4.75,3.24
1992,Feb,S,2.84,1.86
1992,Mar,S,3.57,2.47
1992,Apr,S,6.79,5
1992,May,S,9.92,7.62
1992,Jun,S,12.81,10
1992,Jul,S,15.89,12.58
1992,Aug,S,17.73,14.17
1992,Sep,S,18.15,14.13
1992,Oct,S,17.93,13.85
1992,Nov,S,15.9,11.2
1992,Dec,S,10.21,6.18
1993,Jan,N,14.9,12.93
1993,Feb,N,15.69,13.61
1993,Mar,N,15.81,13.77
1993,Apr,N,15.08,13.03
1993,May,N,13.37,11.42
1993,Jun,N,11.87,9.26
1993,Jul,N,9.48,6.28
1993,Aug,N,7.33,4.76
1993,Sep,N,6.4,4.58
1993,Oct,N,8.79,7.06
1993,Nov,N,11.32,9.54
1993,Dec,N,13.32,11.48
1993,Jan,S,4.41,2.55
1993,Feb,S,2.48,1.37
1993,Mar,S,3.67,2.24
1993,Apr,S,6.65,4.9
1993,May,S,10.1,7.89
1993,Jun,S,13.15,10.37
1993,Jul,S,15.85,12.72
1993,Aug,S,17.49,13.93
1993,Sep,S,18.54,14.7
1993,Oct,S,18.13,14.17
1993,Nov,S,16.04,11.83
1993,Dec,S,9.93,6.67
1994,Jan,N,14.73,12.88
1994,Feb,N,15.56,13.52
1994,Mar,N,15.55,13.55
1994,Apr,N,14.89,12.91
1994,May,N,13.62,11.66
1994,Jun,N,12.02,9.68
1994,Jul,N,9.93,6.92
1994,Aug,N,7.64,5.19
1994,Sep,N,7.14,5.13
1994,Oct,N,8.92,7.23
1994,Nov,N,11.12,9.71
1994,Dec,N,13.27,11.49
1994,Jan,S,4.97,3.37
1994,Feb,S,3.2,2.22
1994,Mar,S,4.55,3.2
1994,Apr,S,7.22,5.45
1994,May,S,10.41,8.21
1994,Jun,S,13.56,10.73
1994,Jul,S,16.3,13.12
1994,Aug,S,17.84,14.49
1994,Sep,S,18.61,14.61
1994,Oct,S,18.09,14.07
1994,Nov,S,15.88,11.78
1994,Dec,S,10.1,7.11
1995,Jan,N,14.59,12.79
1995,Feb,N,15.23,13.37
1995,Mar,N,15.26,13.34
1995,Apr,N,14.45,12.4
1995,May,N,12.97,10.9
1995,Jun,N,11.44,8.94
