UTC Time,Measure,Region,Value
01 11 2010,Extent,North,9.61
01 11 2010,Extent,South,16.75
01 11 2010,Area,North,8.43
01 11 2010,Area,South,11.92
01 11 2010,Extent,Combined,26.36
01 11 2010,Area,Combined,20.35
01 11 2011,Extent,North,9.77
01 11 2011,Extent,South,15.76
01 11 2011,Area,North,8.52
01 11 2011,Area,South,11.77
01 11 2011,Extent,Combined,25.53
01 11 2011,Area,Combined,20.29
01 11 2012,Extent,North,9.39
01 11 2012,Extent,South,16.11
01 11 2012,Area,North,8.06
01 11 2012,Area,South,12.07
01 11 2012,Extent,Combined,25.5
01 11 2012,Area,Combined,20.13
01 11 2013,Extent,North,9.94
01 11 2013,Extent,South,16.87
01 11 2013,Area,North,8.66
01 11 2013,Area,South,12.77
01 11 2013,Extent,Combined,26.81
01 11 2013,Area,Combined,21.43
01 11 2014,Extent,North,10.11
01 11 2014,Extent,South,16.39
01 11 2014,Area,North,8.75
01 11 2014,Area,South,12.26
01 11 2014,Extent,Combined,26.5
01 11 2014,Area,Combined,21.01
01 11 2015,Extent,North,9.85
01 11 2015,Extent,South,16.18
01 11 2015,Area,North,8.48
01 11 2015,Area,South,11.9
01 11 2015,Extent,Combined,26.03
01 11 2015,Area,Combined,20.38
01 11 2016,Extent,North,8.66
01 11 2016,Extent,South,14.22
01 11 2016,Area,North,7.01
01 11 2016,Area,South,9.84
01 11 2016,Extent,Combined,22.88
01 11 2016,Area,Combined,16.85
01 11 2017,Extent,North,9.49
01 11 2017,Extent,South,15.11
01 11 2017,Area,North,8.08
01 11 2017,Area,South,10.91
01 11 2017,Extent,Combined,24.6
01 11 2017,Area,Combined,18.99
01 11 2018,Extent,North,9.82
01 11 2018,Extent,South,15.1
01 11 2018,Area,North,8.43
01 11 2018,Area,South,10.75
01 11 2018,Extent,Combined,24.92
01 11 2018,Area,Combined,19.18
01 11 2019,Extent,North,9.35
01 11 2019,Extent,South,14.99
01 11 2019,Area,North,7.98
01 11 2019,Area,South,11.19
01 11 2019,Extent,Combined,24.34
01 11 2019,Area,Combined,19.17
01 11 2020,Extent,North,8.99
01 11 2020,Extent,South,16.23
01 11 2020,Area,North,7.53
01 11 2020,Area,South,11.88
01 11 2020,Extent,Combined,25.22
01 11 2020,Area,Combined,19.41
01 11 2021,Extent,North,9.81
01 11 2021,Extent,South,14.95
01 11 2021,Area,North,8.53
01 11 2021,Area,South,10.34
01 11 2021,Extent,Combined,24.76
01 11 2021,Area,Combined,18.87
01 12 1978,Extent,North,13.67
01 12 1978,Extent,South,10.4
01 12 1978,Area,North,10.9
01 12 1978,Area,South,6.97
01 12 1978,Extent,Combined,24.07
01 12 1978,Area,Combined,17.87
01 12 1979,Extent,North,13.34
01 12 1979,Extent,South,9.24
01 12 1979,Area,North,10.63
01 12 1979,Area,South,6.24
01 12 1979,Extent,Combined,22.58
01 12 1979,Area,Combined,16.87
01 12 1980,Extent,North,13.59
01 12 1980,Extent,South,10.16
01 12 1980,Area,North,10.78
01 12 1980,Area,South,6.56
01 12 1980,Extent,Combined,23.75
01 12 1980,Area,Combined,17.34
01 12 1981,Extent,North,13.34
01 12 1981,Extent,South,10.89
01 12 1981,Area,North,10.54
01 12 1981,Area,South,7.02
01 12 1981,Extent,Combined,24.23
01 12 1981,Area,Combined,17.56
01 12 1982,Extent,North,13.64
01 12 1982,Extent,South,9.22
01 12 1982,Area,North,10.88
01 12 1982,Area,South,6.31
01 12 1982,Extent,Combined,22.86
01 12 1982,Area,Combined,17.19
01 12 1983,Extent,North,13.3
01 12 1983,Extent,South,10.39
01 12 1983,Area,North,10.63
